Group,Genre,UserRating,LowerDownloads,JavaFiles,DefectCount,LOC,SourceFragment,CloneFragment,CloneGroup,OPrivCount,UPrivCount,IntentsCount,PermissionCount,RowID,DEX_NATIVE,DEX_DYNAMIC,DEX_CRYPTO,DEX_REFLECTION,APK_DEX,APK_EXECUTABLE,APK_ZIP,APK_SHELL_SCRIPT,APK_APK,APK_SHARED_LIBRARIES,PERM_PRIVACY,PERM_NORMAL,PERM_MONEY,PERM_INTERNET,PERM_SMS,PERM_DANGEROUS,PERM_SIGNATUREORSYSTEM,PERM_CALL,PERM_SIGNATURE,PERM_GPS,FuzzyRisk
2,Lifestyle,4.1,1000,133,6,13566,163,26,13,1,3,2,0,133975,1,0,0,1,0,0,0,0,0,0,2,3,0,1,0,4,0,0,0,0,51.11111111
2,Entertainment,3.4,1000,70,6,8285,110,27,13,1,1,2,6,21469,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,4,0,0,0,2,50
2,Lifestyle,4.1,500000,1919,12,165265,2221,731,186,1,3,2,0,57010,0,0,1,1,0,0,0,0,0,0,3,6,0,1,0,4,0,0,0,1,50
2,Transportation,4.3,1000000,2496,85386,240750,0,0,0,2,1,3,0,78068,1,0,0,1,0,0,0,0,0,0,4,5,0,1,1,8,0,0,1,2,50
2,Sports,3.8,100000,1269,6,146534,2039,982,313,2,3,2,3,16937,0,1,1,1,0,0,0,0,0,0,7,3,0,1,0,8,0,0,0,2,100
2,Entertainment,4.4,1000,4561,30,570540,0,0,0,0,6,6,0,90009,1,1,1,1,0,0,0,0,0,0,3,1,0,1,0,5,0,0,0,1,92
2,Personalization,3.8,50000,1901,6,234423,4198,3150,487,3,2,2,0,54453,0,1,1,1,0,0,0,0,0,0,0,5,0,1,0,1,0,0,0,0,92
2,Lifestyle,3.7,10000,453,6,42359,0,0,0,0,3,2,0,117989,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,51.11111111
2,Tools,3.7,5000,110,6,12225,198,48,19,1,0,2,14,4598,0,0,0,1,0,0,0,0,0,0,2,0,0,1,1,3,0,0,0,0,51.11111111
2,Entertainment,3.2,1000,111,3,12191,174,47,21,0,0,2,10,4701,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,51.11111111
2,Travel & Local,3.7,10000,58,3,5945,114,33,14,0,7,2,0,58205,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,51.11111111
2,Productivity,4.4,1000000,1529,16,144405,1606,324,118,6,0,9,3,22634,0,1,1,1,0,0,0,0,0,0,4,5,2,1,3,10,0,0,0,0,100
2,Tools,3.7,10000,2867,9,326167,5906,4536,658,1,2,2,0,68449,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,4,0,1,0,0,92
2,Casual,3.9,1000000,1067,6,107945,1295,389,151,3,5,3,0,56323,1,1,1,1,0,0,0,0,0,0,2,2,0,1,0,4,1,0,0,0,51.11111111
2,Books & Reference,3.3,5000,318,6,29051,433,212,89,0,2,2,0,53999,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,51.11111111
2,Social,4.1,50000000,4541,15,492831,7434,4016,1059,2,1,2,2,18508,1,0,1,1,0,0,0,0,0,0,6,5,1,1,1,8,0,0,1,1,50
2,Social,4.2,10000000,4082,9,464056,7171,3444,1071,2,6,5,8,31191,1,0,1,1,0,0,0,0,0,0,1,5,0,1,0,2,0,0,1,0,51.11111111
2,Books & Reference,4.2,1000,729,9,97725,0,0,0,1,3,2,0,126218,0,1,1,1,0,0,0,0,0,0,5,4,0,1,0,5,0,0,0,2,100
2,Tools,4.6,10000000,468,9,47812,438,136,51,3,1,1,10,17639,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0
2,Transportation,3.3,100000,17,3,935,22,8,4,0,0,2,0,69606,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,1,51.11111111
2,Education,4.8,10000,1875,6,232907,4400,3272,543,1,3,3,19,4131,0,1,1,1,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,92
2,Productivity,3.7,5000,616,6,84785,0,0,0,0,2,2,0,106851,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,92
2,Productivity,4.6,10000,1330,12,146261,2127,1100,371,1,3,5,0,49001,0,0,1,1,0,0,0,0,0,0,0,4,0,1,0,1,0,0,1,0,51.11111111
2,Sports,4.8,100000,2490,12,286339,5093,3405,660,2,3,2,4,894,1,1,1,1,0,0,0,0,0,0,2,6,0,1,0,5,0,0,1,0,92
2,Casual,3.8,10000,104,6,11050,0,0,0,1,1,2,0,124905,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,51.11111111
2,Arcade,3.9,10000,153,3,21154,369,214,63,0,3,2,0,67127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Communication,4,100000,124,3,7872,135,29,13,2,0,0,4,2047,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0
2,Communication,4.2,5000,18,3,6353,2,0,0,0,0,2,7,17251,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
2,Action,4.2,1000000,2312,12,277469,4446,1841,609,1,3,2,9,30640,1,1,1,1,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,51.11111111
2,Arcade,3,10000,736,72,106208,1141,530,136,0,9,2,0,57384,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2,Music & Audio,4.2,10000000,419,3,52637,349,128,45,0,1,4,0,66002,1,1,1,1,0,0,0,0,0,0,1,3,0,1,0,3,0,0,0,0,92
2,Weather,4.1,1000,316,6,22941,0,0,0,0,4,3,0,118892,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,51.11111111
2,Personalization,4.8,500000,299,6,36673,0,0,0,0,2,4,0,120913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Health & Fitness,3.8,1000,125,6,8670,128,13,6,2,1,2,9,12495,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,3,0,0,0,0,51.11111111
2,Education,4.6,50000,2176,9,201115,3219,1609,456,2,4,2,5,31911,0,0,1,1,0,0,0,0,0,0,5,3,0,1,0,6,0,0,0,1,50
2,Trivia,4.1,10000,304,6,26616,394,200,84,0,2,2,4,31502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Tools,3.7,10000,135,6,11139,109,2,1,0,1,2,0,69222,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,51.11111111
2,Tools,4.1,1000000,684,12,71231,0,0,0,5,1,2,0,107310,0,1,1,1,0,0,0,0,0,0,6,8,1,1,1,10,1,0,0,2,91.11111111
2,Sports,4.2,100000,2993,21,352565,6472,3617,832,3,0,3,0,50787,1,0,1,1,0,0,0,0,0,0,5,4,0,1,0,8,0,0,0,2,50
2,Finance,4.2,5000,699,6,63902,647,152,56,1,2,2,0,133474,0,0,0,1,0,0,0,0,0,0,2,1,0,1,2,4,0,0,0,0,51.11111111
2,Books & Reference,4.6,1000,734,6,150391,0,0,0,0,2,2,0,100996,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,92
2,Entertainment,4,10000,110,6,11570,127,32,15,0,0,2,15,4835,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,51.11111111
2,Sports,3.8,5000,61,5117,6021,59,0,0,0,0,2,7,2200,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,51.11111111
2,Travel & Local,3.6,50000,719,3,149478,1601,1085,188,0,1,2,0,58364,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,92
2,Racing,3.9,50000,993,5117,104403,1893,933,251,0,3,2,11,18624,1,0,1,1,0,0,0,0,0,0,1,4,0,1,0,3,0,0,1,0,51.11111111
