"0","310","3.9","215484","3.8","0.1","47","1057","470","140","2.64","709"
"1","6895","4","892318","3.8","0.5","58","1721","893","228","2.5","1045"
"2","1975","4.1","1981230","3.6","0.5","62","2284","1204","302","3.02","1430"
"3","893","4.1","2221209","3.8","0.4","64","2859","1498","373","4.05","1763"
"4","500","4.1","3576940","3.5","0.1","65","3213","1598","426","4.42","2112"
"5","215","4.1","4392326","3.2","0.1","70","3147","1508","405","4.72","2070"
"6","112","4.1","2307589","3.5","0.1","69","3342","1708","435","4.18","2111"
"7","90","4.2","5357333","3.5","0.2","63","3116","1524","414","5.26","2035"
"x","1225","4.2","18226539","3.4","0.2","68","3666","1798","468","3.81","2439"
