RowID,FuzzyRisk,JavaFiles,Jlint,DefectCount,LOC,Jlint/LOC,Defect/LOC,Opriv,Upriv,PrivCount,OprivRatio,UPrivRatio
19963,51,299,100,3384,31418,0.31829,10.7709,0,6,2,0,0
151142,51,832,108,9,117719,0.09174,0.00765,0,1,3,0,3
146353,51,419,144,6,31109,0.46289,0.01929,0,4,2,0,0
30158,92,2014,523,15,235291,0.22228,0.00638,1,9,5,5,0
69553,92,2016,544,16,199836,0.27222,0.00801,1,6,5,5,0
29726,50,2484,540,6,208301,0.25924,0.00288,0,5,6,0,1
77116,100,4615,1351,9,561371,0.24066,0.0016,0,4,13,0,3
187745,51,569,146,9,51038,0.28606,0.01763,0,1,2,0,2
142846,51,435,95,9,36944,0.25715,0.02436,0,2,4,0,2
143173,51,316,94,6,22941,0.40975,0.02615,0,4,5,0,1
81419,0,133,47,6,10400,0.45192,0.05769,2,0,3,1,0
141265,86,6512,1057,13,467575,0.22606,0.00278,10,2,46,4,23
68219,0,33,1,6,2201,0.04543,0.2726,2,2,3,1,1
152281,51,78,27,6,8230,0.32807,0.0729,0,1,2,0,2
13055,51,162,47,3679,29473,0.15947,12.48261,0,1,3,0,3
137923,50,2974,870,12,403551,0.21559,0.00297,6,2,21,3,10
161671,51,964,216,9,87955,0.24558,0.01023,2,1,12,6,12
147370,92,3999,1052,18,348061,0.30225,0.00517,1,3,6,6,2
138158,100,4231,1373,21,408514,0.3361,0.00514,0,18,34,0,1
136555,50,556,158,6,48007,0.32912,0.0125,0,3,7,0,2
228,51,536,145,6,52437,0.27652,0.01144,1,3,4,4,1
69632,51,258,66,9,30922,0.21344,0.02911,0,2,4,0,2
29425,100,3673,1229,18,377280,0.32575,0.00477,0,5,12,0,2
124067,51,1303,1252,15,284404,0.44022,0.00527,0,11,3,0,0
165677,51,278,151,6,26072,0.57917,0.02301,0,5,3,0,0
179072,100,5450,1536,15,671166,0.22886,0.00223,0,10,12,0,1
68195,50,146,71,9,18488,0.38403,0.04868,0,1,7,0,7
52428,50,224,33,6,22149,0.14899,0.02709,10,1,18,1,18
124795,92,849,297,15,108222,0.27444,0.01386,1,1,6,6,6
145525,51,575,126,9,55273,0.22796,0.01628,1,2,3,3,1
131671,51,2637,719,9,243133,0.29572,0.0037,0,4,5,0,1
159,51,874,182,6,77946,0.23349,0.0077,1,4,5,5,1
27595,92,1459,468,12,165378,0.28299,0.00726,0,1,6,0,6
128270,51,1029,223,6,88073,0.2532,0.00681,0,3,5,0,1
56086,51,19,0,6,3816,0,0.15723,1,0,6,6,0
169370,51,205,70,3,21120,0.33144,0.0142,0,1,4,0,4
161709,51,378,165,9,29732,0.55496,0.03027,0,4,9,0,2
162557,92,1095,482,15,141090,0.34163,0.01063,4,1,11,2,11
16829,51,200,35,6,14598,0.23976,0.0411,1,1,5,5,5
174807,86,6512,1057,13,467575,0.22606,0.00278,10,2,46,4,23
184445,50,122,32,6,10556,0.30315,0.05684,5,0,11,2,0
27238,92,1115,157,6,168255,0.09331,0.00357,2,1,8,4,8
142385,92,220,83,3,42579,0.19493,0.00705,1,1,3,3,3
146583,50,2800,732,12,277173,0.26409,0.00433,3,2,9,3,4
101636,51,36,7,6,2247,0.31153,0.26702,1,0,5,5,0
19086,51,141,74,12,16765,0.4414,0.07158,2,0,8,4,0
158491,51,126,25,9,12430,0.20113,0.07241,0,2,2,0,1
179445,92,4194,1145,15,458684,0.24963,0.00327,0,6,6,0,1
2787,51,79,33,6,7865,0.41958,0.07629,0,2,2,0,1
19888,92,250,83,9,46431,0.17876,0.01938,1,2,4,4,2
164918,51,247,77,6,25845,0.29793,0.02322,0,4,3,0,0
1692,0,27,4,6,1342,0.29806,0.44709,0,1,1,0,1
22786,92,1882,611,9,272116,0.22454,0.00331,0,3,4,0,1
142850,51,515,211,12,42775,0.49328,0.02805,1,4,4,4,1
12130,51,489,125,6,51949,0.24062,0.01155,0,6,3,0,0
128158,80,5053,1098,18,608251,0.18052,0.00296,12,4,26,2,6
106213,51,535,148,6,41685,0.35504,0.01439,1,1,5,5,5
125764,51,457,160,3,52654,0.30387,0.0057,0,3,6,0,2
