rowID,Genre,UserRatings,LowerDownloads,FuzzyRisk,JavaFiles,DefectCount,LOC,OPrivCount,UPrivCount,PermissionCount,jlint
222444,Puzzle,2.9,5000,51,502,15,39161,0,6,0,177
1290,Puzzle,3.4,50000,0,394,9,39445,0,6,5,100
1369,Puzzle,4.1,1000,51,408,9,41003,1,2,3,113
2089,Puzzle,3.7,1000,51,276,5114,41752,0,4,7,67
148144,Puzzle,2.7,1000,92,396,9,43496,1,5,0,132
162,Puzzle,4,50000,51,497,6,43675,1,2,6,109
1826,Puzzle,4.1,50000,51,460,6,43943,1,1,4,151
17943,Puzzle,2.9,5000,92,513,9,46668,1,6,7,189
4089,Puzzle,4.1,100000,51,312,21,48100,0,0,6,240
23003,Puzzle,2.9,1000,92,554,5098,48608,1,1,4,166
3061,Puzzle,3.6,10000,92,284,3,48843,1,2,5,130
17372,Puzzle,2.4,1000,51,553,9,50269,0,1,17,113
196783,Puzzle,1.9,1000,51,522,12,50758,0,7,0,194
3019,Puzzle,4.2,1000,92,330,6,51243,0,2,13,122
30455,Puzzle,2.8,1000,92,348,9,53501,0,1,6,119
231,Puzzle,3.8,50000,51,564,9,55286,0,2,4,139
3771,Puzzle,4.5,5000,0,770,6,57903,0,4,8,256
2457,Puzzle,3.1,1000,51,630,9,60738,0,1,4,173
68579,Puzzle,2.8,1000,92,562,5098,61315,2,2,17,218
915,Puzzle,3.5,100000,50,489,7,67287,0,3,2,457
3067,Puzzle,4.1,50000,51,897,12,68402,0,7,7,152
648,Puzzle,3.6,10000,51,726,12,68425,0,2,3,194
2577,Puzzle,4.2,10000,51,670,6,70689,0,3,3,203
151846,Puzzle,2.9,500000,50,607,24165,72287,0,6,0,191
4318,Puzzle,4.1,100000,51,745,6,72659,1,1,19,161
120894,Puzzle,2.8,1000,92,554,6,72969,1,1,0,163
17952,Puzzle,2.7,1000,51,843,6,74244,1,3,9,175
4162,Puzzle,3.5,10000,92,545,12,74998,0,9,17,167
4238,Puzzle,3.6,10000,92,545,12,74998,0,9,1,167
159,Puzzle,4.2,10000,51,874,6,77946,1,4,4,182
191830,Puzzle,2.9,1000,95,860,12,78254,3,0,0,189
124537,Puzzle,2.9,1000,51,840,6,79502,1,3,0,315
215624,Puzzle,2.9,1000000,51,1060,6,80260,0,2,0,201
46996,Puzzle,2.7,5000,51,694,9,83949,0,3,8,201
103541,Puzzle,2.7,5000,51,694,9,83949,0,3,0,201
2883,Puzzle,4.1,500000,51,524,5120,85077,0,2,30,125
106063,Puzzle,2.7,5000,51,1554,15,86646,1,2,0,171
71281,Puzzle,2.5,5000,51,1559,15,88537,0,2,2,168
220660,Puzzle,2.9,10000,92,725,12,94213,0,1,0,259
2950,Puzzle,4.1,100000,51,1234,12,101514,0,7,8,219
4311,Puzzle,4.2,1000000,92,893,12,103415,0,3,3,549
175769,Puzzle,2.8,10000,50,1072,109,106054,3,2,0,329
2659,Puzzle,4.3,500000,92,1008,18,109274,0,4,3,251
168628,Puzzle,2.8,10000,92,960,15,113769,0,5,0,314
51518,Puzzle,2.8,1000,0,826,6,115172,0,5,6,247
1998,Puzzle,3.7,100000,51,1149,12,118246,0,8,2,375
3049,Puzzle,4.1,10000,92,1049,6,118320,1,3,4,277
12393,Puzzle,2.8,10000,92,992,15,119989,0,5,2,358
706,Puzzle,3.2,10000,100,986,6,122563,0,5,11,290
18805,Puzzle,2.8,50000,92,860,72,123677,0,7,8,322
1817,Puzzle,3.8,10000,51,1276,12,125646,0,5,8,433
3065,Puzzle,4.2,5000,92,1315,9,127322,2,1,5,405
124936,Puzzle,2.8,1000,92,1015,12,127467,0,6,0,305
2863,Puzzle,4.4,500000,92,1146,6,131009,0,3,5,474
148686,Puzzle,2.7,50000,51,1074,6,133788,0,5,0,237
3048,Puzzle,4.5,1000,92,1408,12,136940,0,4,12,274
