Group,Genre,UserRating,LowerDownloads,FuzzyRisk,JavaFiles,DefectCount,LOC,SourceFragment,CloneFragment,CloneGroup,OPrivCount,UPrivCount,IntentsCount,PermissionCount,Jlint
2,Entertainment,3.8,1000,51,112,5111,12140,99,2,1,,1,2,3,29
2,Finance,4.5,1000,50,161,9,15111,,,,1,2,2,,43
2,Shopping,4.1,1000,51,1402,6,135314,,,,2,4,5,,503
2,Music & Audio,4,10000,92,612,6,76031,852,382,142,,1,2,14,161
2,Travel & Local,3,1000,100,463,6,77153,,,,1,6,2,,212
2,Music & Audio,4.5,100000,92,666,6,84108,754,238,95,,1,2,8,329
2,Casual,4.1,100000,51,217,5120,20770,228,38,15,,2,2,10,104
2,Entertainment,4.2,50000,51,0,0,0,4,0,0,8,,5,11,0
2,Music & Audio,4.6,1000,100,976,9,123061,1339,514,206,,2,2,,237
2,Entertainment,3.9,10000,,0,0,0,18,6,3,,,,6,0
2,Entertainment,3.9,10000,51,572,6,53787,,,,,,5,,124
2,Entertainment,3.8,10000,92,653,6,83004,,,,,2,2,,155
2,Health & Fitness,3.3,1000,51,310,6,40234,457,188,68,,1,2,15,79
2,Productivity,4.1,5000,0,28,6,4275,42,9,4,,1,,,1
2,Arcade,3.8,500000,51,96,6,8444,,,,,7,2,,65
2,Books & Reference,3.8,1000,92,3201,9,353459,,,,1,7,2,,590
2,Tools,3.4,1000,51,756,6,143669,1882,1186,233,,6,2,,402
2,Shopping,3.9,1000,92,775,6,91267,1012,504,187,1,3,2,10,176
2,Arcade,4.3,500000,51,964,9,99268,1596,584,232,2,4,,12,284
2,Travel & Local,3.4,100000,52,602,6,58771,576,240,60,15,2,2,2,158
2,Education,4.4,10000,51,693,9,66249,1037,379,155,1,7,2,9,226
2,Role Playing,3.6,1000000,92,5953,12,647664,10839,6926,1518,1,5,,,1523
2,Casual,4.7,500000,85,5697,27,602726,,,,3,3,5,,1534
2,Travel & Local,4.6,1000000,51,2243,395764,229506,2884,867,325,,1,6,2,712
2,Health & Fitness,4.1,10000,51,1001,3685,96855,1744,869,207,1,2,,,274
2,News & Magazines,4.3,50000,92,4337,30,544048,8254,4260,1106,,8,6,4,1163
2,Tools,4.4,500000,51,178,3,16302,170,34,15,,1,2,12,57
2,Music & Audio,4.4,50000,50,484,9,43913,570,237,97,3,1,2,11,112
2,Music & Audio,4.2,100000,100,7176,15,743596,12850,7689,1830,1,4,,,1858
