Files	LevenDistance	Not a Clone	Clone
kraw_try1.sumprod1a()-kraw_try1.sumprod3d()	6		
kraw_try1.sumprod1a()-kraw_try1.mult()	69		
kraw_try1.sumprod1a()-kraw_try1.main()	90		
kraw_try1.sumprod1a()-kraw_try1.sumprod4d()	22		
kraw_try1.sumprod1a()-kraw_try1.sumprod2d()	3		
kraw_try1.sumprod1a()-kraw_try1.type1b_krawitz()	39		
kraw_try1.sumprod1a()-kraw_try1.type3a_krawitz()	39		
kraw_try1.sumprod1a()-kraw_try1.sumprod2a()	2		
kraw_try1.sumprod1a()-kraw_try1.type2b_krawitz()	39		
kraw_try1.sumprod1a()-kraw_try1.sumprod4a()	0		
kraw_try1.sumprod1a()-kraw_try1.type3b_krawitz()	54		
kraw_try1.sumprod1a()-kraw_try1.type1a_krawitz()	39		
kraw_try1.sumprod1a()-kraw_try1.type4b2_krawitz()	57		
kraw_try1.sumprod1a()-kraw_try1.sumprod4b()	1		
kraw_try1.sumprod1a()-kraw_try1.sumprod2c()	15		
kraw_try1.sumprod1a()-kraw_try1.sumprod3e()	10		
kraw_try1.sumprod1a()-kraw_try1.type4a_krawitz()	57		
kraw_try1.sumprod1a()-kraw_try1.sumprod1c()	0		
kraw_try1.sumprod1a()-kraw_try1.foo3()	63		
kraw_try1.sumprod1a()-kraw_try1.sumprod3a()	4		
kraw_try1.sumprod1a()-kraw_try1.type4b_krawitz()	53		
kraw_try1.sumprod1a()-kraw_try1.sumprod3b()	2		
kraw_try1.sumprod1a()-kraw_try1.sumprodo()	1		
kraw_try1.sumprod1a()-kraw_try1.sumprod2b()	3		
kraw_try1.sumprod1a()-kraw_try1.foo2()	63		
kraw_try1.sumprod1a()-kraw_try1.type2a_krawitz()	39		
kraw_try1.sumprod1a()-kraw_try1.sumprod3c()	10		
kraw_try1.foo()-kraw_try1.sumprod1b()	67		
kraw_try1.foo()-kraw_try1.sumprod4c()	67		
kraw_try1.foo()-kraw_try1.sumprod3d()	66		
kraw_try1.foo()-kraw_try1.mult()	49		
kraw_try1.foo()-kraw_try1.main()	94		
kraw_try1.foo()-kraw_try1.sumprod4d()	71		
kraw_try1.foo()-kraw_try1.sumprod2d()	68		
kraw_try1.foo()-kraw_try1.type1b_krawitz()	75		
kraw_try1.foo()-kraw_try1.type3a_krawitz()	75		
kraw_try1.foo()-kraw_try1.sumprod2a()	67		
kraw_try1.foo()-kraw_try1.type2b_krawitz()	75		
kraw_try1.foo()-kraw_try1.sumprod4a()	67		
kraw_try1.foo()-kraw_try1.type3b_krawitz()	81		
kraw_try1.foo()-kraw_try1.type1a_krawitz()	75		
kraw_try1.foo()-kraw_try1.type4b2_krawitz()	68		
kraw_try1.foo()-kraw_try1.sumprod4b()	67		
kraw_try1.foo()-kraw_try1.sumprod2c()	68		
kraw_try1.foo()-kraw_try1.sumprod3e()	70		
kraw_try1.foo()-kraw_try1.type4a_krawitz()	83		
kraw_try1.foo()-kraw_try1.sumprod1c()	67		
kraw_try1.foo()-kraw_try1.foo3()	17		
kraw_try1.foo()-kraw_try1.sumprod3a()	68		
kraw_try1.foo()-kraw_try1.type4b_krawitz()	64		
kraw_try1.foo()-kraw_try1.sumprod3b()	68		
kraw_try1.foo()-kraw_try1.sumprodo()	67		
kraw_try1.foo()-kraw_try1.sumprod2b()	67		
kraw_try1.foo()-kraw_try1.foo2()	16		
kraw_try1.foo()-kraw_try1.type2a_krawitz()	75		
kraw_try1.foo()-kraw_try1.sumprod3c()	70		
kraw_try1.foo()-kraw_try1.sumprod1a()	67		
