"0","21","3.6","62381","3.5","0.6","49","2.33","603","7.26"
"1","541","3.9","243309","3.7","1.1","58","2.43","816","0.24"
"2","128","4","1272734","4.1","0.2","63","2.57","1366","36.56"
"3","55","4","558182","3.4","0.9","65","4.06","1458","1.26"
"4","37","4","1743784","3.5","14.5","70","3.33","1571","1.16"
"5","17","3.9","493529","3.7","0.9","75","7.09","1754","1.07"
"6","7","4.2","5731429","3.1","0.1","87","3.5","1986","0.79"
"7","13","4.2","881538","3.5","8.7","65","7.33","2553","0.45"
"x","72","4","6792222","3.5","2","67","2.1","1606","0.44"
