"android.permission.WRITE_MEDIA_STORAGE","0.25","27"
"android.permission.ACCESS_COARSE","0.24","26"
"android.permission.LOCATION","0.24","26"
"android.permission.STATUS_BAR","0.24","26"
"android.permission.ACCESS_CORSE_LOCATION","0.23","25"
"android.permission.FINE_LOCATION","0.21","23"
"android.permission.RECEIVE_WAP_PUSH","0.21","22"
"android.permission.WRITE_EXTERNALS_STORAGE","0.21","22"
"android.permission.ACCESS_WIMAX_STATE","0.2","21"
"android.permission.READ_SETTINGS","0.2","21"
"android.permission.SUBSCRIBED_FEEDS_WRITE","0.2","21"
"android.permission.ACCESS_FIND_LOCATION","0.19","20"
"android.permission.ACTION_HEADSET_PLUG","0.19","20"
"android.permission.SUBSCRIBED_FEEDS_READ","0.19","20"
"android.permission.ACCESS_PHONE_STATE","0.18","19"
"android.permission.READ_INTERNAL_STORAGE","0.17","18"
"android.permission.CHANGE_WIMAX_STATE","0.16","17"
"android.permission.CONNECTIVITY_SERVICE","0.16","17"
"android.permission.MANAGE_DOCUMENTS","0.16","17"
"android.permission.HARDWARE_TEST","0.15","16"
"android.permission.ACTION_VIEW","0.14","15"
"android.permission.WRITE_PROFILE","0.14","15"
"android.permissions.RECEIVE_BOOT_COMPLETED","0.14","15"
"android.permission.ADD_SYSTEM_SERVICE","0.12","13"
"android.permission.INSTALL_SHORTCUT","0.12","13"
"android.permission.INTERACT_ACROSS_USERS","0.12","13"
"android.permission.BIND_APPWIDGET","0.11","12"
"android.permission.MOUNT_FORMAT_FILESYSTEMS","0.11","12"
"android.permission.PERMISSION_NAME","0.11","12"
"android.permission.REBOOT","0.11","12"
"android.permission.BIND_INPUT_METHOD","0.1","11"
"android.permission.FORCE_STOP_PACKAGES","0.1","11"
"android.permission.NETWORK_STATE","0.1","11"
"android.permission.SET_TIME_ZONE","0.1","11"
"android.permission..BILLING","0.09","10"
"android.permission.BACKUP_DATA","0.09","10"
"android.permission.BIND_ACCESSIBILITY_SERVICE","0.09","10"
"android.permission.BIND_WALLPAPER","0.09","10"
"android.permission.CLEAR_APP_USER_DATA","0.09","10"
"android.permission.INSTALL_DRM","0.09","10"
"android.permission.INTERNAL_SYSTEM_WINDOW","0.09","10"
"android.permission.READ_FRAME_BUFFER","0.09","10"
"android.permission.RESTART_PACKAGE","0.09","10"
"android.permission.WIFI_STATE","0.09","10"
"android.permission.ACCES_MOCK_LOCATION","0.08","9"
"android.permission.ACTION_SEND","0.08","9"
"android.permission.READ_HISTORY_BOOKMARKS","0.08","9"
"android.permission.READ_SOCIAL_STREAM","0.08","9"
"android.permission.SET_ALARM","0.08","9"
"android.permission.WRITE_SOCIAL_STREAM","0.08","9"
"android.permission.ACCESS_CACHE_FILESYSTEM","0.07","8"
"android.permission.ACCESS_CELL_ID","0.07","8"
"android.permission.BIND_DEVICE_ADMIN","0.07","8"
"android.permission.READ_SECURE_SETTINGS","0.07","8"
"android.permission.SET_ACTIVITY_WATCHER","0.07","8"
"android.permission.SET_ALWAYS_FINISH","0.07","8"
"android.permission.SET_PREFERRED_APPLICATIONS","0.07","8"
"android.permission.TELEPHONY_SERVICE","0.07","8"
"android.permission.BROADCAST_SMS","0.07","7"
"android.permission.RUN_INSTRUMENTATION","0.07","7"
"android.permission.USES_POLICY_FORCE_LOCK","0.07","7"
"android.permission.ACCESS_BACKGROUND_SERVICE","0.06","6"
"android.permission.BILLING","0.06","6"
"android.permission.BOOT_COMPLETED","0.06","6"
"android.permission.MANAGE_APP_TOKENS","0.06","6"
"android.permission.PREVENT_POWER_KEY","0.06","6"
"android.permission.PROCESS_INCOMING_CALLS","0.06","6"
"android.permission.SEND_MAIL","0.06","6"
"android.permission.TRANSMIT_IR","0.06","6"
"android.permission.BLUETOOTH_PRIVILEGED","0.05","5"
"android.permission.CHANGE_COMPONENT_ENABLED_STATE","0.05","5"
"android.permission.DIAL_PHONE","0.05","5"
"android.permission.GLOBAL_SEARCH","0.05","5"
"android.permission.GPS_PROVIDER","0.05","5"
"android.permission.INJECT_EVENT","0.05","5"
"android.permission.INTENT","0.05","5"
"android.permission.NEW_OUTGOING_CALL","0.05","5"
"android.permission.PHONE_STATE","0.05","5"
"android.permission.UNINSTALL_SHORTCUT","0.05","5"
"android.permission.WRITE","0.05","5"
"android.permission.com.android.vending.BILLING","0.05","5"
"android.permission.ADD_VOICEMAIL","0.04","4"
"android.permission.BROADCAST_PACKAGE_REMOVED","0.04","4"
"android.permission.CHANGE_WIFI_AP_STATE","0.04","4"
"android.permission.FORCE_BACK","0.04","4"
"android.permission.MANAGE_USB","0.04","4"
"android.permission.MODIFY_AUDIO_SETTING","0.04","4"
"android.permission.READ_PERMISSION","0.04","4"
"android.permission.READ_PHONE_DATA","0.04","4"
"android.permission.SEND","0.04","4"
"android.permission.SET_TIME","0.04","4"
"android.permission.START_BACKGROUND_SERVICE","0.04","4"
"android.permission.WIFI","0.04","4"
"android.permission.WRITE_HISTORY_BOOKMARKS","0.04","4"
"android.permission.sec.ENTERPRISE_DEVICE_ADMIN","0.04","4"
"android.permission.sec.MDM_APP_MGMT","0.04","4"
"android.permission.ACCESS_4G_STATE","0.03","3"
"android.permission.ACCESS_ALL_DOWNLOADS","0.03","3"
"android.permission.ACCESS_LOCATTON_MOCK_LOCATION","0.03","3"
"android.permission.ACCESS_NETWORK","0.03","3"
"android.permission.ACCESS_NETWORK_CHANGE","0.03","3"
"android.permission.ACCESS_PROVIDER","0.03","3"
"android.permission.ACTION_SHUTDOWN","0.03","3"
"android.permission.CHANGE_4G_STATE","0.03","3"
"android.permission.CHANGE_NETWORK_SATET","0.03","3"
"android.permission.MANAGE_USERS","0.03","3"
"android.permission.MOUNT_UNMOUT_FILESYSTEMS","0.03","3"
"android.permission.READ_INPUT_STATE","0.03","3"
"android.permission.RECEIVE_BOOT_PERMISSION","0.03","3"
"android.permission.SEND_DOWNLOAD_COMPLETED_INTENTS","0.03","3"
"android.permission.SET_ANIMATION_SCALE","0.03","3"
"android.permission.SIM_STATE_READY","0.03","3"
"android.permission.UNINSTALL_PACKAGES","0.03","3"
"android.permission.WRITE_EXTERNALF_STORAGE","0.03","3"
"android.permission.android.hardware.sensor.accelerometer","0.03","3"
"android.permission.sec.MDM_RESTRICTION","0.03","3"
"android.permissions.ACCESS_COARSE_LOCATION","0.03","3"
"android.permission.ACCESS_COARES_LOCATION","0.02","2"
"android.permission.ACCESS_DOWNLOAD_MANAGER_ADVANCED","0.02","2"
"android.permission.ACCESS_FILE_LOCATION","0.02","2"
"android.permission.ASSESS_PHONE_STATE","0.02","2"
"android.permission.BROADCAST_PACKAGE_ADDED","0.02","2"
"android.permission.BROADCAST_PACKAGE_INSTALL","0.02","2"
"android.permission.BROADCAST_PACKAGE_REPLACED","0.02","2"
"android.permission.BROADCAST_WAP_PUSH","0.02","2"
"android.permission.C2D_MESSAGE","0.02","2"
"android.permission.CALL","0.02","2"
"android.permission.CALL_PRIVILEGES","0.02","2"
"android.permission.CESS_COARSE_LOCATION","0.02","2"
"android.permission.COARSE_FINE_LOCATION","0.02","2"
"android.permission.CONNECTIVITY_INTERNAL","0.02","2"
"android.permission.DELETE_EXTERNAL_STORAGE","0.02","2"
"android.permission.DIAGNOSTIC","0.02","2"
"android.permission.FULLSCREEN","0.02","2"
"android.permission.INJECT_EVENTS","0.02","2"
"android.permission.LOCATION_HARDWARE","0.02","2"
"android.permission.MASTER_CLEAR","0.02","2"
"android.permission.NETWORK","0.02","2"
"android.permission.NETWORK_PROVIDER","0.02","2"
"android.permission.PROCESS_OUTGOING_CALL","0.02","2"
"android.permission.READ_APN_SETTINGS","0.02","2"
