Application Range,Application Count,Avg_MinimumDownloads,JlintDefects,TotalAndroRisk,TotalOverPrivs,TotalClones,CodingDefects,TotalClassFiles,LOC
0,14,32143,3710,508,6,11093,3820,13475,1476943
1,497,69658,117643,28571,441,400273,202007,444393,48764745
2,132,360985,50329,7367,146,161917,140689,187757,20224593
3,62,202258,15963,3890,70,81780,14094,74871,8110874
4,40,46000,20581,2774,41,78458,445,66415,8387792
5,14,256429,5784,873,26,13861,24160,21679,2223284
6,7,131429,2393,395,3,11406,3736,10302,1082518
7,4,380000,697,327,2,1291,33,2842,310625
x,36,1333333,17360,2271,29,60703,283118,60306,6568104
