Application Range,Application Count,Avg_MinimumDownloads,JlintDefects,TotalAndroRisk,TotalOverPrivs,TotalClones,CodingDefects,TotalClassFiles,LOC
0,11,1432727,486,101,27,1692,57,2005,195242
1,425,441859,57337,16818,500,228416,112160,225328,25574893
2,59,1561525,13497,3112,68,50974,18725,55397,7351867
3,40,6445750,17488,2574,112,36217,5420,53538,6087566
4,12,8422500,6650,622,11,18483,41475,22443,2317822
5,15,27048667,16501,1347,76,31730,3118083,50902,5632332
6,2,100000,1268,200,20,9480,18,6952,770270
7,2,2505000,606,92,,1908,12,1837,267036
x,26,6203846,10120,1422,53,22769,5467,34576,3695287
