Application Range,Application Count,Avg_MinimumDownloads,JlintDefects,TotalAndroRisk,TotalOverPrivs,TotalClones,CodingDefects,TotalClassFiles,LOC
0,16,133125,6864,490,7,7845,1501809,20447,2513807
1,281,313986,81966,17429,275,208080,342532,282074,30053043
2,111,389730,37073,7346,158,121780,72429,137704,15204340
3,40,474750,13605,2493,69,33930,41754,48449,5256896
4,20,117500,11581,1309,48,36516,193,43117,4791023
5,8,195000,4230,393,27,6255,60,12590,1259321
6,3,1673333,2600,237,21,9881,33,10277,1117344
7,2,2550000,198,143,2,227,15,818,98194
x,71,20332394,50280,5047,175,102933,373439,174184,17940221
