Application Range,Application Count,Avg_MinimumDownloads,JlintDefects,TotalAndroRisk,TotalOverPrivs,TotalClones,CodingDefects,TotalClassFiles,LOC
0,21,62381,3204,1039,14,7924,22695,12662,1254903
1,541,243309,120134,31388,555,336689,420098,441472,45407867
2,128,1272734,44862,8022,198,168471,788579,174872,18137368
3,55,558182,21554,3587,126,80190,89745,80208,8591446
4,37,1743784,15787,2591,90,45756,3997,58111,6037349
5,17,493529,7272,1281,78,29263,32481,29826,3362936
6,7,5731429,4187,611,21,6818,115653,13899,1510365
7,13,881538,9002,843,88,23512,3814,33187,3443042
x,72,6792222,29721,4812,84,84401,57852,115665,11314672
