Application Range,Application Count,Avg_MinimumDownloads,JlintDefects,TotalAndroRisk,TotalOverPrivs,TotalClones,CodingDefects,TotalClassFiles,LOC
0,9,48889,1677,489,11,3061,60,5413,529970
1,261,122912,50200,15349,222,153277,188319,180851,20281179
2,91,662747,27185,6008,106,107481,90076,108040,12356898
3,51,656471,18003,2484,66,66469,14326,69004,6677290
4,19,508421,7394,1461,12,23061,141,29420,3033299
5,9,4480000,6903,615,37,19496,90,24388,2462473
6,6,368333,3959,388,7,12308,81,13854,1545959
7,2,75000,702,102,1,1622,15,2311,248201
x,41,19899512,19675,2557,45,58716,3903,71485,7154136
