Application Range,Application Count,Avg_MinimumDownloads,JlintDefects,TotalAndroRisk,TotalOverPrivs,TotalClones,CodingDefects,TotalClassFiles,LOC
0,12,39167,2015,728,27,3519,12013,5900,648432
1,234,92393,60888,13450,349,215672,128429,233480,25580180
2,96,247708,33603,6069,213,118566,1180995,124482,13822494
3,49,119592,22957,3203,93,77374,429927,87928,9724380
4,24,1942500,15779,1377,56,46841,279595,50665,5785383
5,9,3538889,3202,502,60,7079,78,11307,1134553
6,3,53333,1253,201,7,6528,27,6247,692207
7,1,10000,463,91,4,3413,6,2465,301091
x,49,2143878,31940,3338,76,93784,664,115778,12853886
