Application Range,Application Count,Avg_MinimumDownloads,JlintDefects,TotalAndroRisk,TotalOverPrivs,TotalClones,CodingDefects,TotalClassFiles,LOC
0,2,10000,362,143,,745,9,1549,121653
1,64,577969,19431,3333,92,48041,826,61599,6668327
2,29,171724,15305,1865,59,45929,5380,48539,5663239
3,18,141667,9070,1135,49,26235,5346,31262,3559106
4,7,754286,2795,404,20,7721,63,8836,1040262
5,5,6002000,5198,344,30,7035,1593558,17173,1020438
6,8,3783750,8820,529,32,22796,3556594,29387,2784261
7,4,3800000,2478,285,37,6257,36,9509,1038009
x,38,4506053,28083,2397,147,51308,468247,99581,8391594
