Application Range,Application Count,Avg_MinimumDownloads,JlintDefects,TotalAndroRisk,TotalOverPrivs,TotalClones,CodingDefects,TotalClassFiles,LOC
0,48,126667,3558,1596,40,5522,13869,13913,1133681
1,728,671909,114824,31249,953,366262,5658083,435400,45799669
2,250,1194040,54475,13086,615,152260,1029432,206446,21820667
3,88,6490341,34483,5164,346,89145,957521,122364,11899036
4,54,4880000,32519,3234,225,68194,3168973,100707,10824130
5,15,15123333,4357,1004,22,11576,498776,15830,1722691
6,15,3368667,7711,798,88,10004,195,24210,2484200
7,10,2716000,5480,526,37,20390,114,20532,2332537
x,101,33218812,40850,6084,310,92619,1954921,153271,15144896
