Application Range,Application Count,Avg_MinimumDownloads,JlintDefects,TotalAndroRisk,TotalOverPrivs,TotalClones,CodingDefects,TotalClassFiles,LOC
0,24,320000,3723,702,29,6349,32436,12945,1396723
1,186,1343387,47231,7722,312,109757,614865,160674,16663663
2,70,1456429,27310,3602,153,71739,4115,95404,9879818
3,35,6789143,26526,1846,173,90654,1671170,83955,8980928
4,10,2525000,3817,631,42,7128,69,12003,1315989
5,5,2222000,2310,302,23,4855,54,9471,856751
6,1,10000,150,92,2,330,9,617,75784
7,6,5341667,6874,401,59,19339,770941,25232,2663217
x,74,17195946,58763,3954,472,116674,2066701,197395,18368635
