Files,LevenDistance
kraw/kraw.c :type1b_krawitz()-kraw/kraw.c :sumprod2b(),39
kraw/kraw.c :type1b_krawitz()-kraw/kraw.c :type3a_krawitz(),10
kraw/kraw.c :type1b_krawitz()-kraw/kraw.c :sumprod3e(),37
kraw/kraw.c :sumprod3d()-kraw/kraw.c :sumprod4b(),6
kraw/kraw.c :sumprod3d()-kraw/kraw.c :sumprod3b(),6
kraw/kraw.c :sumprod3d()-kraw/kraw.c :sumprod1c(),6
kraw/kraw.c :sumprod3d()-kraw/kraw.c :sumprodo(),6
kraw/kraw.c :sumprod3d()-kraw/kraw.c :sumprod2c(),15
kraw/kraw.c :sumprod3d()-kraw/kraw.c :sumprod3c(),14
kraw/kraw.c :sumprod3d()-kraw/kraw.c :sumprod2a(),8
kraw/kraw.c :sumprod3d()-kraw/kraw.c :sumprod3a(),10
kraw/kraw.c :sumprod3d()-kraw/kraw.c :sumprod2d(),8
kraw/kraw.c :sumprod3d()-kraw/kraw.c :sumprod4a(),7
kraw/kraw.c :sumprod3d()-kraw/kraw.c :sumprod2b(),8
kraw/kraw.c :sumprod3d()-kraw/kraw.c :sumprod4d(),22
kraw/kraw.c :sumprod3d()-kraw/kraw.c :sumprod3e(),14
kraw/kraw.c :sumprod4c()-kraw/kraw.c :sumprod4b(),10
kraw/kraw.c :sumprod4c()-kraw/kraw.c :sumprod3b(),9
kraw/kraw.c :sumprod4c()-kraw/kraw.c :sumprod1c(),10
kraw/kraw.c :sumprod4c()-kraw/kraw.c :type2a_krawitz(),38
kraw/kraw.c :sumprod4c()-kraw/kraw.c :sumprodo(),10
kraw/kraw.c :sumprod4c()-kraw/kraw.c :sumprod2c(),15
kraw/kraw.c :sumprod4c()-kraw/kraw.c :sumprod3c(),13
kraw/kraw.c :sumprod4c()-kraw/kraw.c :sumprod2a(),10
kraw/kraw.c :sumprod4c()-kraw/kraw.c :sumprod3a(),10
kraw/kraw.c :sumprod4c()-kraw/kraw.c :sumprod2d(),11
kraw/kraw.c :sumprod4c()-kraw/kraw.c :sumprod4a(),10
kraw/kraw.c :sumprod4c()-kraw/kraw.c :type1a_krawitz(),39
kraw/kraw.c :sumprod4c()-kraw/kraw.c :sumprod2b(),10
kraw/kraw.c :sumprod4c()-kraw/kraw.c :sumprod4d(),24
kraw/kraw.c :sumprod4c()-kraw/kraw.c :type3a_krawitz(),38
kraw/kraw.c :sumprod4c()-kraw/kraw.c :sumprod3e(),15
kraw/kraw.c :sumprod4c()-kraw/kraw.c :type1b_krawitz(),39
kraw/kraw.c :sumprod4c()-kraw/kraw.c :sumprod3d(),6
kraw/kraw.c :type3b_krawitz()-kraw/kraw.c :type2a_krawitz(),31
kraw/kraw.c :type3b_krawitz()-kraw/kraw.c :type1a_krawitz(),27
kraw/kraw.c :type3b_krawitz()-kraw/kraw.c :type3a_krawitz(),30
kraw/kraw.c :type3b_krawitz()-kraw/kraw.c :type1b_krawitz(),26
kraw/kraw.c :sumprod1a()-kraw/kraw.c :sumprod4b(),1
kraw/kraw.c :sumprod1a()-kraw/kraw.c :sumprod3b(),2
kraw/kraw.c :sumprod1a()-kraw/kraw.c :sumprod1c(),0
kraw/kraw.c :sumprod1a()-kraw/kraw.c :type2a_krawitz(),39
kraw/kraw.c :sumprod1a()-kraw/kraw.c :sumprodo(),1
kraw/kraw.c :sumprod1a()-kraw/kraw.c :sumprod2c(),15
kraw/kraw.c :sumprod1a()-kraw/kraw.c :sumprod3c(),10
kraw/kraw.c :sumprod1a()-kraw/kraw.c :sumprod2a(),2
kraw/kraw.c :sumprod1a()-kraw/kraw.c :sumprod3a(),4
kraw/kraw.c :sumprod1a()-kraw/kraw.c :sumprod2d(),3
kraw/kraw.c :sumprod1a()-kraw/kraw.c :sumprod4a(),0
kraw/kraw.c :sumprod1a()-kraw/kraw.c :type1a_krawitz(),39
kraw/kraw.c :sumprod1a()-kraw/kraw.c :sumprod2b(),3
kraw/kraw.c :sumprod1a()-kraw/kraw.c :sumprod4d(),22
kraw/kraw.c :sumprod1a()-kraw/kraw.c :type3a_krawitz(),39
kraw/kraw.c :sumprod1a()-kraw/kraw.c :sumprod3e(),10
kraw/kraw.c :sumprod1a()-kraw/kraw.c :type1b_krawitz(),39
kraw/kraw.c :sumprod1a()-kraw/kraw.c :sumprod3d(),6
kraw/kraw.c :sumprod1a()-kraw/kraw.c :sumprod4c(),10
kraw/kraw.c :sumprod1b()-kraw/kraw.c :sumprod4b(),0
kraw/kraw.c :sumprod1b()-kraw/kraw.c :sumprod3b(),2
kraw/kraw.c :sumprod1b()-kraw/kraw.c :sumprod1c(),0
kraw/kraw.c :sumprod1b()-kraw/kraw.c :type2a_krawitz(),39
kraw/kraw.c :sumprod1b()-kraw/kraw.c :sumprodo(),1
kraw/kraw.c :sumprod1b()-kraw/kraw.c :sumprod2c(),15
kraw/kraw.c :sumprod1b()-kraw/kraw.c :sumprod3c(),10
kraw/kraw.c :sumprod1b()-kraw/kraw.c :sumprod2a(),2
kraw/kraw.c :sumprod1b()-kraw/kraw.c :sumprod3a(),5
kraw/kraw.c :sumprod1b()-kraw/kraw.c :sumprod2d(),3
kraw/kraw.c :sumprod1b()-kraw/kraw.c :sumprod4a(),1
kraw/kraw.c :sumprod1b()-kraw/kraw.c :type1a_krawitz(),39
kraw/kraw.c :sumprod1b()-kraw/kraw.c :sumprod2b(),2
kraw/kraw.c :sumprod1b()-kraw/kraw.c :sumprod4d(),22
kraw/kraw.c :sumprod1b()-kraw/kraw.c :type3a_krawitz(),39
kraw/kraw.c :sumprod1b()-kraw/kraw.c :sumprod3e(),10
kraw/kraw.c :sumprod1b()-kraw/kraw.c :type1b_krawitz(),39
kraw/kraw.c :sumprod1b()-kraw/kraw.c :sumprod3d(),6
kraw/kraw.c :sumprod1b()-kraw/kraw.c :sumprod4c(),10
kraw/kraw.c :sumprod1b()-kraw/kraw.c :sumprod1a(),0
kraw/kraw.c :type2b_krawitz()-kraw/kraw.c :sumprod3b(),39
kraw/kraw.c :type2b_krawitz()-kraw/kraw.c :sumprod1c(),39
kraw/kraw.c :type2b_krawitz()-kraw/kraw.c :type2a_krawitz(),11
kraw/kraw.c :type2b_krawitz()-kraw/kraw.c :sumprodo(),39
kraw/kraw.c :type2b_krawitz()-kraw/kraw.c :sumprod2c(),34
kraw/kraw.c :type2b_krawitz()-kraw/kraw.c :sumprod3c(),36
kraw/kraw.c :type2b_krawitz()-kraw/kraw.c :sumprod3a(),38
kraw/kraw.c :type2b_krawitz()-kraw/kraw.c :sumprod2d(),39
kraw/kraw.c :type2b_krawitz()-kraw/kraw.c :sumprod4a(),39
kraw/kraw.c :type2b_krawitz()-kraw/kraw.c :type1a_krawitz(),1
kraw/kraw.c :type2b_krawitz()-kraw/kraw.c :sumprod2b(),39
kraw/kraw.c :type2b_krawitz()-kraw/kraw.c :type3a_krawitz(),11
kraw/kraw.c :type2b_krawitz()-kraw/kraw.c :sumprod3e(),37
kraw/kraw.c :type2b_krawitz()-kraw/kraw.c :type1b_krawitz(),1
kraw/kraw.c :type2b_krawitz()-kraw/kraw.c :sumprod4c(),39
kraw/kraw.c :type2b_krawitz()-kraw/kraw.c :type3b_krawitz(),26
kraw/kraw.c :type2b_krawitz()-kraw/kraw.c :sumprod1a(),39
kraw/kraw.c :type2b_krawitz()-kraw/kraw.c :sumprod1b(),39
