APKID,Group,Genre,UserRating,LowerDownloads,JavaFiles,DefectCount,LOC,SourceFragment,CloneFragment,CloneGroup,OPrivCount,UPrivCount,IntentsCount,PermissionCount,RowID,DEX_NATIVE,DEX_DYNAMIC,DEX_CRYPTO,DEX_REFLECTION,APK_DEX,APK_EXECUTABLE,APK_ZIP,APK_SHELL_SCRIPT,APK_APK,APK_SHARED_LIBRARIES,PERM_PRIVACY,PERM_NORMAL,PERM_MONEY,PERM_INTERNET,PERM_SMS,PERM_DANGEROUS,PERM_SIGNATUREORSYSTEM,PERM_CALL,PERM_SIGNATURE,PERM_GPS,FuzzyRisk
01ae5480-0d73-4be7-92e6-40fa5ad36c86,1,Arcade,1.3,1000,92,6,10826,173,45,19,,,4,16,17221,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
f95e998e-0347-4fc8-bafd-2731aaddeb8a,1,Business,2,1000,549,6,61685,776,283,109,,1,2,3,2535,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,51.11111111
5f342b17-bb39-4096-a17c-50a8813ea906,1,News & Magazines,2.4,50000,1749,9,195659,,,,2,3,2,,117775,0,0,1,1,0,0,0,0,0,0,5,6,0,1,0,6,0,0,1,2,50
737aeae6-e86b-418b-b635-51f56bcb43a4,1,Music & Audio,2.2,5000,133,6,10912,,,,,1,2,,127716,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,51.11111111
e4c8f796-b909-437f-9888-728c8735cff5,1,Social,2.5,1000,1446,5057,96331,1280,436,148,,2,6,17,5522,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,51.11111111
6aef8382-bcee-4ee3-8b98-2f4f905633a4,1,Photography,2.7,100000,79,3,8078,103,10,4,1,1,3,12,10972,0,0,1,0,0,0,0,0,0,0,1,2,0,1,0,2,0,0,0,0,51.11111111
38c2cbf3-0578-41c1-a06b-69838f5a475d,1,Medical,2.9,1000,103,9,12537,172,31,13,7,1,2,1,27948,0,0,0,1,0,0,0,0,0,0,8,6,0,1,1,9,0,0,0,2,50
5f78dd3d-0109-4170-ac49-bb8d7123818a,1,Sports,2.8,10000,75,3,8224,,,,,2,3,,121142,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,51.11111111
e4eb5623-dbd8-48bf-8948-d3d19d08b76f,1,Business,2.8,1000,1239,12,113374,2000,792,283,3,1,2,27,30447,0,0,0,1,0,0,0,0,0,0,3,3,0,1,0,6,0,0,0,2,50
6deb5151-c836-42ae-9394-266fbc24c464,1,Finance,2.5,1000,378,12,32284,534,219,68,,1,2,,131648,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,51.11111111
01b082eb-c98d-40d8-a7d5-55192e6edfab,1,Health & Fitness,2.9,1000,2881,24,332346,,,,,4,6,,118867,1,0,1,1,0,0,0,0,0,0,5,2,0,1,0,7,0,0,1,2,50
