,rowID,Genre,UserRatings,LowerDownloads,FuzzyRisk,JavaFiles,DefectCount,LOC,OPrivCount,UPrivCount,PermissionCount,jlint
5-Mar,1,Tools,3.6,50000,51,96,9,7148,0,0,1,5
5-Mar,2,Education,4,10000,0,47,6,4090,0,0,7,22
5-Mar,3,Productivity,4.3,10000,0,30,3,5210,0,1,3,10
5-Mar,8,Music,4.1,5000000,92,1560,6,146028,0,3,8,481
5-Mar,9,Music,3.8,1000000,51,359,6,31522,0,0,2,99
5-Mar,11,Casual,4,1000000,92,584,9,79861,0,3,3,254
5-Mar,12,Casual,3.7,1000000,92,1375,6,159084,3,6,2,503
5-Mar,13,Casual,3,1000000,51,1648,12,134373,0,5,3,494
5-Mar,15,Word,4.1,500000,92,1770,3,158511,0,7,7,714
5-Mar,18,Education,4.5,1000000,92,1586,18,226328,1,3,2,639
5-Mar,19,Tools,3.9,5000,51,240,6,22222,0,2,2,69
5-Mar,21,Tools,3.9,50000,51,114,3663,11101,0,0,3,34
5-Mar,23,Lifestyle,4,1000,92,493,6,66430,0,1,2,126
5-Mar,25,Entertainment,3.5,10000,92,677,6,96616,1,1,21,195
5-Mar,27,Casual,3.4,50000,51,102,3592,9391,1,2,11,37
5-Mar,30,Productivity,4.1,1000000,50,1096,3,117407,0,1,2,294
5-Mar,33,Education,3.6,5000,92,170,6,19327,0,9,11,52
5-Mar,34,Puzzle,3.8,100000,51,78,5095,10641,0,0,4,26
5-Mar,35,Education,3.6,10000,92,311,3,58022,1,2,6,128
5-Mar,44,Word,4.3,10000000,95,6842,15,573957,12,0,1,1978
5-Mar,47,Puzzle,4.5,10000000,92,3998,12,444207,0,9,12,907
5-Mar,49,Puzzle,4.2,10000000,92,3934,9398,438287,1,6,8,1281
5-Mar,50,Educational,3.7,10000000,51,1069,6,108101,3,5,20,393
5-Mar,51,Educational,3.7,100000,92,4007,9,402286,3,3,19,1037
5-Mar,55,Media & Video,4.5,10000,50,1578,6,183921,0,2,5,480
5-Mar,56,Social,4.3,100000000,50,4241,12,700198,11,0,12,1193
5-Mar,58,Books & Reference,4.6,1000,51,247,3378,23604,1,0,4,53
5-Mar,63,Books & Reference,4.4,10000,100,1204,12,145769,4,2,5,387
5-Mar,66,Trivia,3.6,100000,51,166,6,16239,0,1,6,59
5-Mar,67,Entertainment,4.5,10000,51,1664,15,144594,0,1,10,463
5-Mar,68,Health & Fitness,4.2,1000000,50,3447,6,337965,0,2,11,1270
5-Mar,69,News & Magazines,3.4,1000,100,6135,12,674800,3,4,4,1754
5-Mar,70,Finance,3.9,50000,51,151,3,14609,0,0,7,13
5-Mar,71,Card,3.4,10000,92,683,12,88756,3,1,5,176
5-Mar,73,Tools,3.9,100000,92,2544,6,294549,3,1,10,487
5-Mar,75,Finance,4.3,5000,92,981,6,74984,0,1,7,288
5-Mar,89,Casual,3.8,100000,51,170,6,25392,1,5,3,56
5-Mar,90,Music & Audio,4,100000,92,798,9,109557,1,2,4,217
5-Mar,91,Music & Audio,4.1,100000,0,1223,322783,187026,0,0,2,363
5-Mar,92,Tools,4.3,100000,92,460,6,49969,3,1,3,188
5-Mar,93,Weather,4.5,100000,0,238,6,21794,0,3,2,46
5-Mar,94,Personalization,4.3,100000,0,24,3,1295,0,1,4,2
5-Mar,95,Music & Audio,3.9,100000,50,220,3,27710,2,1,9,111
5-Mar,96,Shopping,4.4,500000,50,2177,9,184657,0,4,6,482
5-Mar,97,Casual,3.5,100000,100,1531,9,201542,3,1,5,432
5-Mar,98,Finance,4.5,100000,92,2314,15,321908,0,3,28,1009
5-Mar,99,Entertainment,3.9,100000,92,2609,12,291317,0,3,2,769
5-Mar,100,Tools,3.5,500000,100,2145,10,261197,1,3,3,477
5-Mar,102,Tools,4,100000,0,39,3,2841,2,1,4,12
