"0","9","4","48889","4.5","90.2","54","2.75","601","15.46"
"1","261","4.2","122912","4.7","1","59","2.31","693","0.23"
"2","91","4.3","662747","3.9","1.2","66","2.52","1187","1.53"
"3","51","4.2","656471","3.5","4.8","62","2.64","1353","4.92"
"4","19","3.9","508421","3.6","208.7","77","2.4","1548","0.38"
"5","9","4.1","4480000","3.4","271","68","7.4","2710","0.48"
"6","6","4.3","368333","3.7","171","65","2.33","2309","0.81"
"7","2","4.4","75000","3","154.1","51","1","1156","0.57"
"x","41","4.4","19899512","4.9","18.3","62","2.81","1744","204.59"
