"android.permission.INTERACT_ACROSS_USERS_FULL","0.18","22","12215"
"android.permission.ACCESS_WIMAX_STATE","0.17","21","12215"
"android.permission.RECEIVE_WAP_PUSH","0.17","21","12215"
"android.permission.USE_SIP","0.17","21","12215"
"android.permission.WRITE_EXTERNALS_STORAGE","0.17","21","12215"
"android.permission.ACCOUNT_MANAGER","0.16","19","12215"
"android.permission.SUBSCRIBED_FEEDS_WRITE","0.16","19","12215"
"android.permission.SYSTEM_OVERLAY_WINDOW","0.16","19","12215"
"android.permission.INSTALL_PACKAGES","0.15","18","12215"
"android.permission.SUBSCRIBED_FEEDS_READ","0.15","18","12215"
"android.permission.ACCESS_PHONE_STATE","0.14","17","12215"
"android.permission.CHANGE_WIMAX_STATE","0.14","17","12215"
"android.permission.READ_SETTINGS","0.14","17","12215"
"android.permission.MANAGE_DOCUMENTS","0.12","15","12215"
"android.permission.CONFIGURE_SIP","0.11","14","12215"
"android.permission.SET_DEBUG_APP","0.11","14","12215"
"android.permission.STATUS_BAR","0.11","14","12215"
"android.permission.WRITE_PROFILE","0.11","14","12215"
"android.permission.ADD_SYSTEM_SERVICE","0.11","13","12215"
"android.permission.ACCESS_SURFACE_FLINGER","0.1","12","12215"
"android.permission.CONTROL_LOCATION_UPDATES","0.1","12","12215"
"android.permission.LOCATION","0.1","12","12215"
"android.permission.ACCESS_COURSE_LOCATION","0.09","11","12215"
"android.permission.BIND_APPWIDGET","0.09","11","12215"
"android.permission.HARDWARE_TEST","0.09","11","12215"
"android.permission.FORCE_STOP_PACKAGES","0.08","10","12215"
"android.permission.NETWORK_STATE","0.08","10","12215"
"android.permission.READ_INTERNAL_STORAGE","0.08","10","12215"
"android.permission..BILLING","0.07","9","12215"
"android.permission.READ_SOCIAL_STREAM","0.07","9","12215"
"android.permission.WIFI_STATE","0.07","9","12215"
"android.permission.WRITE_SOCIAL_STREAM","0.07","9","12215"
"android.permission.BIND_ACCESSIBILITY_SERVICE","0.07","8","12215"
"android.permission.INSTALL_DRM","0.07","8","12215"
"android.permission.INSTALL_SHORTCUT","0.07","8","12215"
"android.permission.MOUNT_FORMAT_FILESYSTEMS","0.07","8","12215"
"android.permission.READ_HISTORY_BOOKMARKS","0.07","8","12215"
"android.permission.READ_SECURE_SETTINGS","0.07","8","12215"
"android.permission.BIND_WALLPAPER","0.06","7","12215"
"android.permission.RESTART_PACKAGE","0.06","7","12215"
"android.permission.SET_ALWAYS_FINISH","0.06","7","12215"
"android.permission.SET_PREFERRED_APPLICATIONS","0.06","7","12215"
"android.permission.TELEPHONY_SERVICE","0.06","7","12215"
"android.permission.BIND_INPUT_METHOD","0.05","6","12215"
"android.permission.INTERACT_ACROSS_USERS","0.05","6","12215"
"android.permission.INTERNAL_SYSTEM_WINDOW","0.05","6","12215"
"android.permission.PROCESS_INCOMING_CALLS","0.05","6","12215"
"android.permission.TRANSMIT_IR","0.05","6","12215"
"android.permission.ACCESS_FIND_LOCATION","0.04","5","12215"
"android.permission.BACKUP_DATA","0.04","5","12215"
"android.permission.INJECT_EVENT","0.04","5","12215"
"android.permission.PHONE_STATE","0.04","5","12215"
"android.permission.SET_TIME_ZONE","0.04","5","12215"
"android.permission.UNINSTALL_SHORTCUT","0.04","5","12215"
"android.permission.USES_POLICY_FORCE_LOCK","0.04","5","12215"
"android.permission.ACCESS_CELL_ID","0.03","4","12215"
"android.permission.ACCES_MOCK_LOCATION","0.03","4","12215"
"android.permission.ADD_VOICEMAIL","0.03","4","12215"
"android.permission.BIND_DEVICE_ADMIN","0.03","4","12215"
"android.permission.BLUETOOTH_PRIVILEGED","0.03","4","12215"
"android.permission.CHANGE_WIFI_AP_STATE","0.03","4","12215"
"android.permission.CLEAR_APP_USER_DATA","0.03","4","12215"
"android.permission.FORCE_BACK","0.03","4","12215"
"android.permission.GLOBAL_SEARCH","0.03","4","12215"
"android.permission.INTENT","0.03","4","12215"
"android.permission.MANAGE_USB","0.03","4","12215"
"android.permission.MODIFY_AUDIO_SETTING","0.03","4","12215"
"android.permission.SEND_MAIL","0.03","4","12215"
"android.permission.SET_ACTIVITY_WATCHER","0.03","4","12215"
"android.permission.SET_ALARM","0.03","4","12215"
"android.permission.WRITE","0.03","4","12215"
"android.permission.WRITE_HISTORY_BOOKMARKS","0.03","4","12215"
"android.permission.ACCESS_4G_STATE","0.02","3","12215"
"android.permission.ACCESS_ALL_DOWNLOADS","0.02","3","12215"
"android.permission.ACCESS_CHECKIN_PROPERTIES","0.02","3","12215"
"android.permission.ACCESS_LOCATTON_MOCK_LOCATION","0.02","3","12215"
"android.permission.ACCESS_NETWORK_CHANGE","0.02","3","12215"
"android.permission.ACTION_SHUTDOWN","0.02","3","12215"
"android.permission.BOOT_COMPLETED","0.02","3","12215"
"android.permission.BROADCAST_PACKAGE_REMOVED","0.02","3","12215"
"android.permission.BROADCAST_SMS","0.02","3","12215"
"android.permission.CHANGE_4G_STATE","0.02","3","12215"
"android.permission.CHANGE_COMPONENT_ENABLED_STATE","0.02","3","12215"
"android.permission.PERMISSION_NAME","0.02","3","12215"
"android.permission.PREVENT_POWER_KEY","0.02","3","12215"
"android.permission.READ_PERMISSION","0.02","3","12215"
"android.permission.READ_PHONE_DATA","0.02","3","12215"
"android.permission.REBOOT","0.02","3","12215"
"android.permission.RECEIVE_BOOT_PERMISSION","0.02","3","12215"
"android.permission.SEND_DOWNLOAD_COMPLETED_INTENTS","0.02","3","12215"
"android.permission.UNINSTALL_PACKAGES","0.02","3","12215"
"android.permission.WRITE_EXTERNALF_STORAGE","0.02","3","12215"
"android.permission.android.hardware.sensor.accelerometer","0.02","3","12215"
"android.permission.sec.ENTERPRISE_DEVICE_ADMIN","0.02","3","12215"
"android.permission.sec.MDM_RESTRICTION","0.02","3","12215"
"android.permission.ACCESS_BACKGROUND_SERVICE","0.02","2","12215"
"android.permission.ACCESS_COARES_LOCATION","0.02","2","12215"
"android.permission.ACCESS_CORSE_LOCATION","0.02","2","12215"
"android.permission.ACCESS_DOWNLOAD_MANAGER_ADVANCED","0.02","2","12215"
"android.permission.ACTION_VIEW","0.02","2","12215"
"android.permission.BROADCAST_PACKAGE_ADDED","0.02","2","12215"
"android.permission.BROADCAST_PACKAGE_INSTALL","0.02","2","12215"
"android.permission.CALL_PRIVILEGES","0.02","2","12215"
"android.permission.CESS_COARSE_LOCATION","0.02","2","12215"
"android.permission.CHANGE_NETWORK_SATET","0.02","2","12215"
"android.permission.CONNECTIVITY_INTERNAL","0.02","2","12215"
"android.permission.DIAGNOSTIC","0.02","2","12215"
"android.permission.DIAL_PHONE","0.02","2","12215"
"android.permission.GPS_PROVIDER","0.02","2","12215"
"android.permission.LOCATION_HARDWARE","0.02","2","12215"
"android.permission.MASTER_CLEAR","0.02","2","12215"
"android.permission.MOUNT_UNMOUT_FILESYSTEMS","0.02","2","12215"
"android.permission.NETWORK","0.02","2","12215"
"android.permission.NETWORK_PROVIDER","0.02","2","12215"
"android.permission.PROCESS_OUTGOING_CALL","0.02","2","12215"
"android.permission.READ_APN_SETTINGS","0.02","2","12215"
"android.permission.READ_GSERVICES","0.02","2","12215"
"android.permission.RUN_INSTRUMENTATION","0.02","2","12215"
"android.permission.SIM_STATE_READY","0.02","2","12215"
"android.permission.START_BACKGROUND_SERVICE","0.02","2","12215"
"android.permission.UPDATE_DEVICE_STATE","0.02","2","12215"
"android.permission.WRITE_SYNC_STATS","0.02","2","12215"
"Android.permission.CHANGE_CONFIGURATION","0.01","1","12215"
"android.permission.ACCESS_BLUETOOTH_SHARE","0.01","1","12215"
"android.permission.ACCESS_CACHE_FILESYSTEM","0.01","1","12215"
"android.permission.ACCESS_COARSE_LOCATIO","0.01","1","12215"
"android.permission.ACCESS_CORASE_LOCATION","0.01","1","12215"
"android.permission.ACCESS_DEVICE_STATS","0.01","1","12215"
"android.permission.ACCESS_DRM","0.01","1","12215"
"android.permission.ACCESS_MEDIUM_LOCATION","0.01","1","12215"
"android.permission.ACCESS_Net","0.01","1","12215"
"android.permission.ACCESS_PROVIDER","0.01","1","12215"
"android.permission.ACCES_NETWORK_STATE","0.01","1","12215"
"android.permission.ACESS_COARSE_LOCATION","0.01","1","12215"
"android.permission.ADD_ACCOUNTS","0.01","1","12215"
"android.permission.ANSWER_PHONE","0.01","1","12215"
"android.permission.APPWIDGET_LIST","0.01","1","12215"
"android.permission.AUDIO_SERVICE","0.01","1","12215"
"android.permission.BILLING","0.01","1","12215"
"android.permission.BROADCAST_WAP_PUSH","0.01","1","12215"
"android.permission.C2D_MESSAGE","0.01","1","12215"
"android.permission.COARSE_FINE_LOCATION","0.01","1","12215"
"android.permission.COARSE_LOCATION","0.01","1","12215"
"android.permission.DATE_CHANGED","0.01","1","12215"
"android.permission.FILE_WRITE","0.01","1","12215"
"android.permission.FLAG_GRANT_READ_URI_PERMISSION","0.01","1","12215"
"android.permission.FLAG_GRANT_WRITE_URI_PERMISSION","0.01","1","12215"
"android.permission.FLASH_LIGHT","0.01","1","12215"
"android.permission.FULLSCREEN","0.01","1","12215"
"android.permission.GET_ACCOUNT","0.01","1","12215"
"android.permission.GET_PERMISSIONS","0.01","1","12215"
"android.permission.GPS","0.01","1","12215"
"android.permission.INJECT_EVENTS","0.01","1","12215"
"android.permission.KOR_GO_FIRE_REPORT","0.01","1","12215"
"android.permission.MANAGE_NETWORK_POLICY","0.01","1","12215"
"android.permission.MEDIA_CONTENT_CONTROL","0.01","1","12215"
"android.permission.MODIFY_NETWORK_STATE","0.01","1","12215"
"android.permission.MOVE_PACKAGE","0.01","1","12215"
"android.permission.NFC_TRANSACTION","0.01","1","12215"
"android.permission.PACKAGE_USAGE_STATS","0.01","1","12215"
"android.permission.PERFORM_CDMA_PROVISIONING","0.01","1","12215"
"android.permission.PHONE_CALLS","0.01","1","12215"
"android.permission.PRIVILEGED","0.01","1","12215"
"android.permission.PROCESS_CALL","0.01","1","12215"
"android.permission.READ_ALAMRS","0.01","1","12215"
"android.permission.READ_CALL_STATE","0.01","1","12215"
"android.permission.READ_CLOCK","0.01","1","12215"
"android.permission.READ_FRAME_BUFFER","0.01","1","12215"
"android.permission.READ_INPUT_STATE","0.01","1","12215"
"android.permission.READ_WIFI_STATE","0.01","1","12215"
"android.permission.REMOVE_TASKS","0.01","1","12215"
"android.permission.Read_Phone_State","0.01","1","12215"
"android.permission.SCREEN_ON","0.01","1","12215"
"android.permission.SECURITY_ACTIVITY","0.01","1","12215"
"android.permission.SEND","0.01","1","12215"
"android.permission.SEND_MESSAGE","0.01","1","12215"
"android.permission.SEND_MMS","0.01","1","12215"
"android.permission.SENSOR_SERVICE","0.01","1","12215"
"android.permission.SET_ANIMATION_SCALE","0.01","1","12215"
"android.permission.SET_PROCESS_FOREGROUND","0.01","1","12215"
"android.permission.SET_WALLPAPER_COMPONENT","0.01","1","12215"
"android.permission.SET_WALLPAPER_HINT","0.01","1","12215"
"android.permission.SIGNAL_PERSISTENT_PROCESSES","0.01","1","12215"
"android.permission.UPDATE_APP_OPS_STAT","0.01","1","12215"
