"0","9","3.8","33333","2","0.9","44","1","503","1.63"
"1","512","4","1013809","3.2","0.5","67","1.93","1182","0.42"
"2","90","4","2256444","3.1","1.9","71","2.1","1355","2.2"
"3","34","4","3290294","3.4","3","67","3.92","1359","14.06"
"4","13","4","2455385","3.8","2.5","70","1","1090","2.9"
"5","7","4.1","445714","2.1","2","77","2.33","1456","0.44"
"6","7","4.1","3152857","2.9","3.7","80",,"2767","47.05"
"7","2","4","300000","2.5","94.2","72",,"1177","1.88"
"x","72","4","1596806","3.7","2.6","81","2.06","1690","8.2"
