"0","2","4.1","10000","3.5","172.1","72",,"775","0.32"
"1","64","4","577969","4.2","74.6","52","2.56","962","3.77"
"2","29","4","171724","3.4","9","64","3.47","1674","1"
"3","18","4.1","141667","3.3","5.8","63","3.27","1737","1.27"
"4","7","4","754286","3.3","140.3","58","3.33","1262","3.25"
"5","5","4.3","6002000","3.6","0","69","7.5","3435","0.36"
"6","8","4.1","3783750","2.6","0","66","4.57","3673","5.77"
"7","4","4","3800000","4.7","264.1","71","12.33","2377","10.57"
"x","38","4","4506053","3.1","0.2","63","4.74","2621","2.88"
