AppName,Genre,UserRating,LowerDownloads,isJavaAnalyze,AndroRisk,Jlint,DefectCount,LOC,OPrivCount,UPrivCount,PermissionCount
SuperVib,Tools,3.8,10000,1,51,27,5098,6857,1,1,7
Sound Meter,Tools,4.3,10000000,1,92,295,12,115114,1,1,4
CM Security Heartbleed Scanner,Tools,4.6,1000000,1,51,65,6,28499,0,2,8
?????,Tools,2.2,10000,1,0,0,6,1163,0,0,15
Network Monitor Mini,Tools,4.5,100000,1,92,86,6,32654,3,5,2
NEW SD CARD Storage Optimizer,Tools,4.1,500000,1,92,1349,13,498517,2,3,4
BatteryBar,Tools,4.6,100000,1,51,15,6,6823,0,2,3
Winulator-beta,Tools,3.9,100000,1,51,476,9,154199,0,2,14
Meeting Responder for Outlook,Tools,3,10000,1,92,188,6,206722,0,5,9
ProxUrDroid,Tools,4.1,10000,1,51,33,6,7995,0,3,11
????-???!,Tools,3.7,10000,1,51,1,6,1251,1,0,8
Scripter,Tools,4.5,10000,1,0,11,3,3699,0,1,4
FlashLight Free,Tools,2,10000,1,51,7,3,1625,0,0,8
DSS APP SHOP,Tools,3.7,10000,1,51,30,4898,7189,0,0,11
Alarm Widget (Free),Tools,3.9,10000,1,51,15,12,7449,0,2,7
SPYSAT - free GPS tracking,Tools,3.4,50000,1,51,8,6,1473,0,0,10
??????,Tools,4.4,10000,1,0,12,6,2055,0,0,10
Rebooter,Tools,4,10000,1,51,1,3,850,2,0,3
Cloud,Tools,4,100000,1,51,53,6,6007,1,0,1
Bitdefender USSD Wipe Stopper,Tools,4.5,50000,1,0,2,3,395,0,0,10
Unlock At Home Using Wifi,Tools,3.8,100000,1,0,58,6,8127,0,0,3
Analog Clock,Tools,3.6,10000,1,51,47,3,12686,1,0,7
System cleaner ROOT,Tools,4.2,100000,1,51,107,3,17952,2,1,8
Chinese EastCalendar v1.9,Tools,4.2,50000,1,0,22,3,3115,0,0,1
TheMiniMemo,Tools,4.4,50000,1,0,15,6,8381,2,0,8
Messagerie Vocale Visuelle,Tools,3.2,10000,1,51,258,17,145893,2,1,3
?u?i Mu?i,Tools,3.6,100000,1,92,290,6,132800,0,2,3
Call Map Log (BETA),Tools,4.2,10000,1,50,39,5111,9692,2,2,5
GPS Converter,Tools,3.8,10000,1,51,57,6,13984,0,1,4
Ear Alarm,Tools,3.8,10000,1,51,38,4953,13030,0,2,11
Charger Alarm,Tools,4.2,50000,1,51,21,5111,6791,0,1,2
Quick Calculator,Tools,4.4,50000,1,51,64,6,13392,0,1,1
Barcode Generator,Tools,4.3,50000,1,0,57,6,18141,0,0,1
mq sms blocker,Tools,3.6,10000,1,51,27,3,10131,2,0,4
Hardware Disabler,Tools,3.2,10000,1,51,47,3354,15708,0,0,3
DVB-S2 Calculator,Tools,4.3,10000,1,51,7,3,4558,0,0,10
AC Transit Alerts,Tools,4,10000,1,50,60,3351,13807,0,0,5
Wifi Reconnect Widget,Tools,4,10000,1,0,12,3,2315,0,0,2
Roiding NetTraffic,Tools,4.1,10000,1,0,12,3,4739,4,1,3
????-????,Tools,4.3,10000,1,0,0,3,284,0,0,18
WiFi Scanner Analyser Unlocker,Tools,4.1,10000,1,92,81,9,40409,0,1,9
MHP3?????? for FREE,Tools,3.9,10000,1,51,41,9,4933,0,0,5
Descobrir Operadora,Tools,2.9,100000,1,51,29,5095,6771,0,0,5
check Fus,Tools,3.5,50000,1,51,37,4950,9775,0,0,14
Light Lux Meter,Tools,3.5,50000,1,92,81,6,40318,0,1,9
List My Apps,Tools,4.1,10000,1,51,65,9,14377,0,0,1
Custom Car Home,Tools,4.1,50000,1,0,8,3,5987,1,0,4
Voodoo Screen Test Patterns,Tools,4.1,10000,1,0,1,3,1275,0,0,2
Call Recorder Free,Tools,3.7,100000,1,50,49,9,12589,3,0,5
TotalBox for Total Commander,Tools,4.5,100000,1,51,14,12,11510,2,0,10
3G WiFi Connection Mode,Tools,4.2,100000,1,0,2,6,789,2,0,11
Mini power control,Tools,3.9,50000,1,51,22,5056,8033,1,1,2
TaskManager,Tools,4.1,10000,1,100,186,3381,73806,0,1,5
DbD Wallpaper,Tools,4.2,50000,1,51,6,3,5940,1,2,23
TokiClock-World Clock Calendar,Tools,4.1,10000,1,92,1829,6,48026,0,2,10
3D Smart Cuve Soft Keyboard,Tools,3.3,10000,1,100,121,6,35907,2,0,5
CPU / RAM / DEVICE Identifier,Tools,4.5,500000,1,0,8,3,48743,0,1,4
Android Tuner Free,Tools,4.4,100000,1,100,943,12,339018,15,4,27
PASSWORDS,Tools,3.3,100000,1,51,116,6,54638,0,3,12
Remote4cam,Tools,3.6,50000,1,51,35,13809,10235,0,0,2
App Lock (beta),Tools,3.8,50000,1,51,59,3,13627,0,0,3
Apt Notes,Tools,4.3,50000,1,0,11,3,2024,0,0,3
Simple Stopwatch(SST ENG),Tools,4.6,10000,1,0,2,3,1917,0,0,8
Bitdefender Antivirus Free,Tools,4.3,1000000,1,51,193,48,54115,1,3,7
DropBox for Lidroid File,Tools,4.4,10000,1,51,37,3,12452,1,0,2
Contacts Manager,Tools,3.2,10000,1,51,25,3,10261,3,1,6
AppLock Theme Dawn,Tools,3.9,1000000,1,0,0,3,903,0,0,5
Sms Fast Search,Tools,3.7,10000,1,50,23,3,9403,3,0,24
Advanced Protection ? AppLock,Tools,4.1,100000,1,0,2,3,88,0,0,13
Stromverbrauchsrechner,Tools,3.9,10000,1,92,143,9,56967,0,6,10
WiFi Monitor,Tools,3.6,10000,1,92,87,6,42950,1,1,4
AppLock Theme Sky,Tools,4,500000,1,0,0,3,903,0,0,8
AmbientLight - mood stimulator,Tools,3.8,10000,1,51,54,6,13406,0,1,18
Shutter Speed,Tools,2.9,50000,1,0,1,3,498,0,0,4
WhereRing,Tools,4.1,10000,1,50,45,6,11310,3,1,15
Jota+ Dropbox Connector,Tools,4.4,10000,1,51,16,12,12188,0,0,3
Hex Converter Plus,Tools,4.6,10000,1,0,0,6,2473,0,0,12
Sound Recorder,Tools,3.7,50000,1,50,38,4895,9232,1,0,3
Battery Pict,Tools,4.2,10000,1,0,3,3,1240,1,0,8
Shark Reader,Tools,3.5,100000,1,51,37,9,14111,0,1,3
