AppName,Genre,UserRating,LowerDownloads,isJavaAnalyze,AndroRisk,Jlint,DefectCount,LOC,OPrivCount,UPrivCount,PermissionCount
??n??? ???? ???,Education,4.3,100000,1,51,82,6,27161,3,2,4
Ukrainian Laws,Education,4.3,100000,1,92,734,12,424274,0,3,6
Buchstaben Lernen fÅr Kinder,Education,4.2,50000,1,0,11,3,1839,0,1,2
Exoplanet Catalog,Education,3.6,10000,1,51,2,3,3275,0,0,5
Duolingo: Learn Languages Free,Education,4.6,10000000,1,51,1347,12,512108,1,5,12
Turkish to English Dictionary,Education,3.5,10000,1,92,148,6,77798,0,2,1
HistoryQuiz,Education,3.9,50000,1,92,206,15,89845,0,3,4
????? 15000 Lite,Education,4,50000,1,0,32,9,18522,0,1,17
???? ???,Education,4.1,10000,1,51,31,3,16930,1,1,9
math2me,Education,4.8,10000,1,92,234,6,232907,1,3,5
Baby Call (FREE),Education,4,10000,1,0,9,3,1850,2,0,7
????????????????????????,Education,3.9,50000,1,50,177,15,25307,2,3,2
QuizDroid - CONCORSI,Education,4.3,10000,1,51,245,18,110108,0,3,9
Tlsnrl VOCA,Education,4.3,10000,1,51,44,3663,16092,1,0,20
Virginia Tech Tree ID,Education,4,50000,1,51,89,6,52152,0,2,13
Aprende Integrales,Education,3.9,10000,1,51,0,3,2282,0,0,4
Conjugate Spanish Verbs,Education,4.4,50000,1,51,45,6,12772,0,1,1
Clock Time for Kids,Education,3,100000,1,51,47,3,13281,0,0,11
Tree Height Measurement,Education,3.6,50000,1,51,1,3,1856,0,1,9
Spanish Fairy Tales and Songs,Education,3.8,100000,1,51,24,3,8707,0,0,18
3D Brain,Education,4.4,100000,1,51,5,3,1287,0,0,11
96???????1,Education,4,10000,1,50,85,6,27810,1,1,7
?! ?????? MP3(50?),Education,3.7,10000,1,51,316,12,117734,1,1,10
Prova da OAB Lite,Education,4.4,10000,1,51,30,3660,8345,0,0,13
Learn Japanese Essentials FREE,Education,3.8,10000,1,51,44,6,12540,0,7,4
??? ?? ?????- ????!,Education,4.8,10000,1,51,263,9,83335,2,2,16
Raz-Kids,Education,4.1,100000,1,51,259,9,108973,0,3,7
?! ??????MP3 (50?),Education,3,50000,1,51,316,12,117734,1,1,10
?! ???????? (20?),Education,3.1,50000,1,51,316,12,117734,1,1,6
?! ???????? (27?),Education,3.1,50000,1,51,316,12,117734,1,1,3
?! ??????MP3 (31?),Education,3.8,50000,1,51,316,12,117734,1,1,4
?! ????MP3 (50?),Education,2.9,100000,1,51,316,12,117734,1,1,6
English Gujarati Dictionary,Education,3.9,10000,1,51,147,9,60077,1,2,2
?ngilizce Kelime ô?reniyorum,Education,4,100000,1,51,57,6,15147,0,1,13
Sight Words (Free),Education,3.8,10000,1,92,88,3,44386,0,2,12
Free Teleprompter,Education,3.2,10000,1,0,12,3,4216,0,1,14
Star Chart,Education,4.2,1000000,1,51,291,6,69557,3,4,2
Globe Finger Travel,Education,3.9,10000,1,51,35,9,10316,1,1,12
Listening English Audio Player,Education,4.3,10000,1,0,125,6,27254,0,3,3
SMART Speaking TOEIC,Education,4.2,10000,1,51,29,5098,12259,0,1,2
