Group,Genre,UserRating,LowerDownloads,FuzzyRisk,JavaFiles,DefectCount,LOC,SourceFragment,CloneFragment,CloneGroup,OPrivCount,UPrivCount,IntentsCount,PermissionCount
1,Travel & Local,2.8,10000,51,42,3,3520,53,6,3,,,2,3
1,Tools,2,10000,51,23,3,1625,49,21,8,,,2,1
1,Personalization,2,1000,0,11,3,2435,12,0,0,,,,11
1,Entertainment,1.5,100000,51,7,3,1189,5,2,1,,,2,9
1,Music & Audio,2.9,1000,51,590,9,57418,786,295,121,,2,2,2
1,Music & Audio,2.6,1000,50,546,9,55477,805,405,153,,2,2,2
1,Books & Reference,2.5,1000,51,233,3660,28039,385,101,47,1,5,2,3
1,Shopping,2.8,1000,50,284,3,29541,396,83,37,4,1,7,6
1,Education,2.7,1000,51,975,24,118547,1681,694,285,,7,2,3
1,Media & Video,2.9,5000,51,41,3,1563,18,5,2,,,2,15
1,Entertainment,2.9,1000,51,111,3,12191,174,47,21,,,2,1
1,Tools,2.6,1000,0,50,6,8159,55,12,6,,1,2,4
1,Casual,2.5,5000,0,8,3,366,4,0,0,,1,2,3
1,Travel & Local,2.8,5000,51,87,3,9705,107,8,4,,2,3,3
1,Puzzle,1.6,1000,51,22,3,3510,34,3,1,,,2,1
1,Books & Reference,2.4,1000,51,118,3663,8421,49,0,0,,,2,3
1,Travel & Local,2.7,1000,51,66,5095,6975,74,14,7,1,,3,2
1,Casual,2.2,1000,51,67,5095,6549,70,0,0,,,2,3
1,Books & Reference,2.6,10000,51,49,3,2530,46,8,4,,,3,1
1,Books & Reference,2.3,10000,51,117,3,14987,280,167,41,,,2,10
1,Photography,2.9,10000,0,18,3,1554,22,0,0,,,2,24
1,Tools,2.9,100000,51,66,5095,6771,54,0,0,,,2,2
1,Libraries & Demo,2,50000,0,12,3,371,5,0,0,,,2,10
1,Tools,2.9,1000,50,239,6,25816,302,139,53,8,,2,6
1,Media & Video,2.6,50000,0,46,3,4680,73,21,9,,,2,17
1,Arcade,2.8,10000,0,82,6,8339,98,20,7,,8,2,2
1,Business,2.3,1000,51,471,272,55494,653,179,76,,,2,12
1,News & Magazines,2.8,10000,51,63,3,7476,106,26,13,,,2,7
