Files,LevenDistance
kraw_try1.type3a_krawitz()-kraw_try1.sumprodo(),39.0
kraw_try1.type3a_krawitz()-kraw_try1.sumprod3c(),35.0
kraw_try1.type3a_krawitz()-kraw_try1.sumprod2a(),39.0
kraw_try1.type3a_krawitz()-kraw_try1.sumprod3a(),38.0
kraw_try1.type3a_krawitz()-kraw_try1.sumprod2d(),38.0
kraw_try1.type3a_krawitz()-kraw_try1.sumprod4a(),39.0
kraw_try1.type3a_krawitz()-kraw_try1.type1a_krawitz(),10.0
kraw_try1.type3a_krawitz()-kraw_try1.sumprod2b(),39.0
kraw_try1.foo()-kraw_try1.foo3(),17.0
kraw_try1.foo()-kraw_try1.foo2(),16.0
kraw_try1.sumprod3e()-kraw_try1.sumprod4b(),10.0
kraw_try1.sumprod3e()-kraw_try1.sumprod3b(),11.0
kraw_try1.sumprod3e()-kraw_try1.sumprod1c(),10.0
kraw_try1.sumprod3e()-kraw_try1.type2a_krawitz(),38.0
kraw_try1.sumprod3e()-kraw_try1.sumprodo(),10.0
kraw_try1.sumprod3e()-kraw_try1.sumprod2c(),19.0
kraw_try1.sumprod3e()-kraw_try1.sumprod3c(),15.0
kraw_try1.sumprod3e()-kraw_try1.sumprod2a(),11.0
kraw_try1.sumprod3e()-kraw_try1.sumprod3a(),13.0
kraw_try1.sumprod3e()-kraw_try1.sumprod2d(),11.0
kraw_try1.sumprod3e()-kraw_try1.sumprod4a(),10.0
kraw_try1.sumprod3e()-kraw_try1.type1a_krawitz(),37.0
kraw_try1.sumprod3e()-kraw_try1.sumprod2b(),11.0
kraw_try1.sumprod3e()-kraw_try1.sumprod4d(),30.0
kraw_try1.sumprod3e()-kraw_try1.type3a_krawitz(),38.0
kraw_try1.type1b_krawitz()-kraw_try1.sumprod3b(),39.0
kraw_try1.type1b_krawitz()-kraw_try1.sumprod1c(),39.0
kraw_try1.type1b_krawitz()-kraw_try1.type2a_krawitz(),10.0
kraw_try1.type1b_krawitz()-kraw_try1.sumprodo(),39.0
kraw_try1.type1b_krawitz()-kraw_try1.sumprod2c(),34.0
kraw_try1.type1b_krawitz()-kraw_try1.sumprod3c(),36.0
kraw_try1.type1b_krawitz()-kraw_try1.sumprod3a(),38.0
kraw_try1.type1b_krawitz()-kraw_try1.sumprod2d(),39.0
kraw_try1.type1b_krawitz()-kraw_try1.sumprod4a(),39.0
kraw_try1.type1b_krawitz()-kraw_try1.type1a_krawitz(),0.0
kraw_try1.type1b_krawitz()-kraw_try1.sumprod2b(),39.0
kraw_try1.type1b_krawitz()-kraw_try1.type3a_krawitz(),10.0
kraw_try1.type1b_krawitz()-kraw_try1.sumprod3e(),37.0
kraw_try1.sumprod3d()-kraw_try1.sumprod4b(),6.0
kraw_try1.sumprod3d()-kraw_try1.sumprod3b(),6.0
kraw_try1.sumprod3d()-kraw_try1.sumprod1c(),6.0
kraw_try1.sumprod3d()-kraw_try1.sumprodo(),6.0
kraw_try1.sumprod3d()-kraw_try1.sumprod2c(),15.0
kraw_try1.sumprod3d()-kraw_try1.sumprod3c(),14.0
kraw_try1.sumprod3d()-kraw_try1.sumprod2a(),8.0
kraw_try1.sumprod3d()-kraw_try1.sumprod3a(),10.0
kraw_try1.sumprod3d()-kraw_try1.sumprod2d(),8.0
kraw_try1.sumprod3d()-kraw_try1.sumprod4a(),7.0
kraw_try1.sumprod3d()-kraw_try1.sumprod2b(),8.0
kraw_try1.sumprod3d()-kraw_try1.sumprod4d(),22.0
kraw_try1.sumprod3d()-kraw_try1.sumprod3e(),14.0
kraw_try1.sumprod4c()-kraw_try1.sumprod4b(),10.0
kraw_try1.sumprod4c()-kraw_try1.sumprod3b(),9.0
kraw_try1.sumprod4c()-kraw_try1.sumprod1c(),10.0
kraw_try1.sumprod4c()-kraw_try1.type2a_krawitz(),38.0
kraw_try1.sumprod4c()-kraw_try1.sumprodo(),10.0
