Group,Genre,UserRating,LowerDownloads,JavaFiles,DefectCount,JLINT_LOC,SourceFragment,CloneFragment,CloneGroup,OPrivCount,UPrivCount,IntentsCount,PermissionCount,RowID,DEX_NATIVE,DEX_DYNAMIC,DEX_CRYPTO,DEX_REFLECTION,APK_DEX,APK_EXECUTABLE,APK_ZIP,APK_SHELL_SCRIPT,APK_APK,APK_SHARED_LIBRARIES,PERM_PRIVACY,PERM_NORMAL,PERM_MONEY,PERM_INTERNET,PERM_SMS,PERM_DANGEROUS,PERM_SIGNATUREORSYSTEM,PERM_CALL,PERM_SIGNATURE,PERM_GPS,FuzzyRisk
2,Books & Reference,4.6,10000,382,9,0.0021069,547,255,104,0,3,2,1,29319,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,Personalization,4.2,1000,70,3660,0.0039572,73,22,3,1,0,2,0,58124,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,1,51.11111111
2,Education,4.3,500000,1192,15,0.0028106,1381,390,155,1,2,2,10,2823,1,1,1,1,0,0,0,0,0,0,2,4,0,1,0,4,0,0,0,0,92
2,Arcade,4.1,1000000,1004,12,0.0034118,1516,658,247,0,2,2,4,1496,1,0,1,1,0,0,0,0,0,0,1,2,0,1,0,3,0,0,0,0,51.11111111
2,News & Magazines,4.2,1000,612,6,0.0021133,855,379,142,0,1,2,3,1109,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,92
2,Casual,4.4,1000,423,5111,0.003614,501,133,60,0,1,2,3,23344,0,0,1,1,0,0,0,0,0,0,3,3,0,1,0,5,0,0,0,2,50
2,Personalization,4.8,1000,1882,9,0.0022454,3346,1899,491,0,3,2,5,2574,0,1,1,1,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,92
2,Puzzle,3.3,1000,1342,12,0.0029086,1806,785,312,1,7,2,46,1730,1,1,1,1,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,92
2,Shopping,4.4,10000,1990,9,0.0032436,2579,2011,280,4,1,5,0,69556,0,0,1,1,0,0,0,0,0,0,2,4,1,1,1,6,0,0,1,0,51.11111111
2,Puzzle,4,10000,3347,12,0.0028487,5705,2659,766,0,5,2,9,18876,1,1,1,1,0,0,0,0,0,0,1,2,0,1,0,3,0,0,0,0,92
2,Puzzle,3.8,1000000,569,4332,0.0041325,831,280,112,4,5,2,0,53360,1,0,1,1,0,0,0,0,0,0,0,5,0,1,0,3,0,0,2,0,51.11111111
2,Tools,3.4,10000,111,6,0.0031838,125,23,8,0,0,2,2,13603,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0
2,Weather,4.2,100000,15,3,0,10,4,1,1,0,2,10,4874,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,51.11111111
2,Casual,4,50000,1004,12,0.0033473,1448,527,192,0,7,3,2,29604,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,51.11111111
2,Music & Audio,4.6,1000,976,9,0.0019259,1339,514,206,0,2,2,0,53040,0,1,1,1,0,0,0,0,0,0,2,2,0,1,0,3,0,0,0,1,100
2,Personalization,3.9,5000,14,3,0.0004139,4,0,0,0,2,2,16,11964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
